sample_reason,confidence,score,diagnostic_group,source_shape,token_overlap,char_overlap,shared_entity_count,relationship_type,thirumurai_no,paadal_id,link_id,source_text,target_text,diagnostic_note
source_shape=punctuated_phrase,no_link,0.0,missing_or_unlinked,punctuated_phrase,0.0,0.0,0,unlinked,3,thirumurai_03_paadal_3639,ppl_v4_base_1dce0d29e5bde92b,"இசை குலா,",,"The normalized commentary row has empty pozhppurai text, so no target span can be linked."
source_shape=punctuated_phrase,no_link,0.0,missing_or_unlinked,punctuated_phrase,0.0,0.0,0,unlinked,1,thirumurai_01_paadal_435,ppl_v4_base_5baa4bf610f5b11f,"புறம் கூற,",,"The normalized commentary row has empty pozhppurai text, so no target span can be linked."
source_shape=question,high,0.521,strong_link,question,0.1429,0.16,1,theological_explanation,5,thirumurai_05_paadal_1548,ppl_v4_base_16fbd6911bec08f7,"ஆமோ, அல்லல்பட, அடியோங்களே?",நின் அடியோமாகிய யாங்கள் அல்லறபடுதலும் ஆமோ?,High-confidence link with strong lexical/entity/containment evidence.
source_shape=question,high,0.5256,strong_link,question,0.0588,0.1161,1,explains_phrase,6,thirumurai_06_paadal_259,ppl_v4_base_b57f47971db5019f,"கூடுமே, நாய் அடியேன் செய் குற்றேவல்?",இவ்வளவு செய்திகளையும் அடியேன் அறிந்துள்ளேன். ஆதலின் நாய்போலும் அடியவனாகிய நான் செய்யும் சிறுபணிகள் உனக்கு ஏற்குமோ? ஏலாவோ?,High-confidence link with strong lexical/entity/containment evidence.
source_shape=question,medium,0.2713,medium_similarity,question,0.5,0.3913,0,glosses_word,6,thirumurai_06_paadal_932,ppl_v4_base_f28453bd6f895700,கண்ணுதலாய்! காட்டாக்காலே?.,கண்ணுதலாய்!,Medium-confidence link; likely useful but should be sampled before scholarly use.
source_shape=question,medium,0.2725,medium_similarity,question,0.08,0.0947,0,explains_phrase,6,thirumurai_06_paadal_953,ppl_v4_base_82d1c25063df5208,கலாம் மாலை வேல் கண்ணாள் பாகத்து உண்டோ?,வேல்போன்றனவுமாகிய கண்களையுடைய உமையம்மை அவன் பாகமாகப் பொருந்திய துண்டோ? கார்காலத்து மலரும் கொன்றை மாலை அவனுடலில் கலந்ததுண்டோ? வளைந்தமாலை போல்வதும் படமெடுத்தாடுவதும் ஆகிய பாம்பு தோள்மேல் விளங்குதல் உண்டோ?,Medium-confidence link; likely useful but should be sampled before scholarly use.
source_shape=question,low,0.1257,low_lexical_overlap,question,0.0,0.0337,0,theological_explanation,7,thirumurai_07_paadal_460,ppl_v4_base_aeb556b0f9a12591,ஆர்த்தது என்னே?,மலைக்கு நிகராகிய தன்மையால் தம்மில் ஒப்பனவாகிய வலிய அலைகள் வலம்புரிச் சங்குகளைப் பற்றி ஈர்த்து வந்து,The paadal line and selected pozhppurai target share little surface vocabulary.
source_shape=question,low,0.1296,low_lexical_overlap,question,0.0,0.0565,0,interprets_image,7,thirumurai_07_paadal_460,ppl_v4_base_58d449d3fc379da3,தலைக்குத் தலை மாலை அணிந்தது என்னே? சடைமேல் கங்கை வெள்ளம் தரித்தது,மலைக்கு நிகராகிய தன்மையால் தம்மில் ஒப்பனவாகிய வலிய அலைகள் வலம்புரிச் சங்குகளைப் பற்றி ஈர்த்து வந்து,The paadal line and selected pozhppurai target share little surface vocabulary.
source_shape=question,no_link,0.0,missing_or_unlinked,question,0.0,0.0,0,unlinked,1,thirumurai_01_paadal_476,ppl_v4_base_b5aa501ebe7ebc17,இவர் சார்வே?,,"The normalized commentary row has empty pozhppurai text, so no target span can be linked."
source_shape=question,no_link,0.0,missing_or_unlinked,question,0.0,0.0,0,unlinked,1,thirumurai_01_paadal_624,ppl_v4_base_586456e3916361cf,"சங்கரன், கழல் சாரவே?",,"The normalized commentary row has empty pozhppurai text, so no target span can be linked."
source_shape=single_token,high,0.5242,strong_link,single_token,0.5,0.2667,1,theological_explanation,2,thirumurai_02_paadal_2408,ppl_v4_base_17f23b0e69eb9d45,உள்ளம்,உள்ளம் ஒளியாக்கும.,High-confidence link with strong lexical/entity/containment evidence.
source_shape=single_token,high,0.5565,strong_link,single_token,0.0,0.0185,1,interprets_image,2,thirumurai_02_paadal_2184,ppl_v4_base_3de817fcf89d8fed,நீறு;,"கூர்மைக்கு விளக்கம் தருகின்ற சூலப்படையினை ஏந்திய திருஆலவாயான் திருநீறு, திரிபுரங்களை எரிக்கச் செய்தது. இம்மை மறுமை இன்பம் தர இருப்பது.",High-confidence link with strong lexical/entity/containment evidence.
source_shape=single_token,medium,0.2713,medium_similarity,single_token,0.0667,0.0317,0,explains_phrase,2,thirumurai_02_paadal_2167,ppl_v4_base_592c5f4769207b67,போலும்;,கயிற்றைக்கையில் பிடித்தவர். பிறையணிந்த சடைமுடியினர். போலும் என்பதனை வினாப்பொருளதாகக் கொண்டு இங்குக் கூறிய செய்திகள் யாவும் உறுதிப் படுமாற்றை உணரலாம்.,Medium-confidence link; likely useful but should be sampled before scholarly use.
source_shape=single_token,medium,0.2767,medium_similarity,single_token,0.2,0.05,0,glosses_word,2,thirumurai_02_paadal_2296,ppl_v4_base_89d7f6e025865007,உடன்,அக்கணை சென்று உடன் எரியச்செய்தது முப்புரங்களை.,Medium-confidence link; likely useful but should be sampled before scholarly use.
source_shape=single_token,low,0.12,order_only_weak_match,single_token,0.0,0.0,0,interprets_image,2,thirumurai_02_paadal_2231,ppl_v4_base_d0cd6ce1ecfe5536,ஆய,செழுமையான அழகிய காழி முதலாக வேணுபுரம் ஈறாகப் பன்னிருபெயர்களைக் கொண்டது கண்ணுதலான் கருதும் ஊராகும்.,"The selected target is mainly supported by poem/commentary order, with little lexical or entity evidence."
source_shape=single_token,low,0.12,order_only_weak_match,single_token,0.0,0.0,0,interprets_image,1,thirumurai_01_paadal_162,ppl_v4_base_9ba87deb38311662,சில,தலங்களில் சிறந்த புனல் சூழ்ந்த காழிப்பதியுள் தோன்றிய தமிழ் ஞானசம்பந்தன் உலகெங்கும் பரவிய புகழால் மிக்க நெய்த்தானத்துப் பெருமான் மீது பாடிய ஒப்பற்ற பயன்கள் பலவற்றைத் தரும் பாடல்களாகிய இவற்றைக் கற்றுப் பலகாலும் பரவவல்லவர் சீலம் நிறைந்த செல்வன் அடியாகிய சிவகதியைச் சேர்வர்.,"The selected target is mainly supported by poem/commentary order, with little lexical or entity evidence."
source_shape=single_token,no_link,0.0,missing_or_unlinked,single_token,0.0,0.0,0,unlinked,1,thirumurai_01_paadal_630,ppl_v4_base_236b4922cfbe2a0a,என,,"The normalized commentary row has empty pozhppurai text, so no target span can be linked."
source_shape=single_token,no_link,0.0,missing_or_unlinked,single_token,0.0,0.0,0,unlinked,1,thirumurai_01_paadal_443,ppl_v4_base_8902578bd7ff1766,எம்,,"The normalized commentary row has empty pozhppurai text, so no target span can be linked."
token_overlap_bin=0,high,0.5211,strong_link,punctuated_phrase,0.0,0.5263,1,glosses_word,2,thirumurai_02_paadal_2597,ppl_v4_base_dc5de350dbab5bde,"பசும்பொன்னை, விசும்பு ஆரும்","பசும் பொன்னை,",High-confidence link with strong lexical/entity/containment evidence.
token_overlap_bin=0,high,0.5228,strong_link,long_line,0.0,0.2222,2,explains_phrase,2,thirumurai_02_paadal_2508,ppl_v4_base_993645b9c6eb59b9,காவல் ஆர் மதில் சூழ்ந்த கடி பொழில் காழி நன்நகரே.,காவலாக அமைந்த மதில்கள் சூழ்ந்ததும் மணம் பொருந்திய பொழில்களை உடையதுமான சீகாழி நன்னகர் ஆகும்.,High-confidence link with strong lexical/entity/containment evidence.
token_overlap_bin=0,medium,0.2701,medium_similarity,ordinary_phrase,0.0,0.0101,0,explains_phrase,1,thirumurai_01_paadal_123,ppl_v4_base_f792edeeef316bfd,கறை ஆர்,"கூரிய மூவிலை வடிவாய் அமைந்த குருதிக் கறைபடிந்த அழகிய நீண்ட வேலின் முனையில் குத்தி ஏந்திய சிவபெருமானது இடம் யாதெனில்,",Medium-confidence link; likely useful but should be sampled before scholarly use.
token_overlap_bin=0,medium,0.2703,medium_similarity,ordinary_phrase,0.0,0.0113,0,describes_entity,2,thirumurai_02_paadal_2772,ppl_v4_base_bc66ed16448c24d3,அழகு எய்தவே,"தென்நாட்டின் உறையூர் வஞ்சி ஆகிய சோழ, சேர மண்டலங்களுக்கும் உரியவனாய்ப் புகழ்மிக்க செங்கோலினனாய் விளங்கிய கோச்செங்கட்சோழ மன்னன் கட்டிய மூக்கீச்சரத்துக் கோயிலில் விளங்கும் அடிகள், அன்னம் போன்ற நடையினை உடைய உமையம்மையாரோடு அழகுற விளங்கி,",Medium-confidence link; likely useful but should be sampled before scholarly use.
token_overlap_bin=0,low,0.12,order_only_weak_match,numeric_only,0.0,0.0,0,explains_phrase,3,thirumurai_03_paadal_2852,ppl_v4_base_65fd56159d8d55b4,8,யானையின் தோலை உரித்துப் போர்த்தித் திருப்பூந்தராய் என்னும் தலத்தில் விரும்பி எழுந்தருளியுள்ள எனது பிஞ்ஞகனாகிய சிவபெருமானே தனது திருவடி விரல் ஒன்றினால் அரக்கனது ஆற்றலை அழித்துப் பின்னர் அவனுக்கு அருள் செய்தான்.,"The selected target is mainly supported by poem/commentary order, with little lexical or entity evidence."
token_overlap_bin=0,low,0.12,order_only_weak_match,numeric_only,0.0,0.0,0,theological_explanation,3,thirumurai_03_paadal_2901,ppl_v4_base_dada6d55d5a01bd4,2,சீதாப்பிராட்டியைக் கவர்ந்த தென்னிலங்கை மன்னனான தசமாமுகனின் பூச்சூடிய முடியையுடைய தலைகளை அறுத்துக் கொன்ற பழி நீங்குமாறு அம்பினைச் செலுத்தும் வில்லையுடைய அண்ணலாகிய இராமபிரான் வழிபட்ட இராமேச்சுரத்தை இடைவிடாது சிந்திப்பவர்களின் வினை அழியும்.,"The selected target is mainly supported by poem/commentary order, with little lexical or entity evidence."
token_overlap_bin=0,no_link,0.0,missing_or_unlinked,numeric_only,0.0,0.0,0,unlinked,3,thirumurai_03_paadal_3056,ppl_v4_base_4bd790511eed5da8,5,,"The normalized commentary row has empty pozhppurai text, so no target span can be linked."
token_overlap_bin=0,no_link,0.0,missing_or_unlinked,numeric_only,0.0,0.0,0,unlinked,3,thirumurai_03_paadal_3548,ppl_v4_base_2da1aa52e174751d,1,,"The normalized commentary row has empty pozhppurai text, so no target span can be linked."
token_overlap_bin=0.01-0.05,high,0.5203,strong_link,ordinary_phrase,0.0385,0.1782,1,explains_phrase,5,thirumurai_05_paadal_1698,ppl_v4_base_0b9e3b3cf202b18f,கடுவாய்த்தென்கரைப்புத்தூர் அடிகட்கு ஆட்-,"பிச்சையிடுவார் இட்ட சோற்றுருண்டையினைப் பெற்றுத் தம் பெரிய கொடிய வாயில் இடும் சமணர்களது கட்டியுரைக்கும் பேச்சைக்கொள்ளாமல், கடுவாய்த்தென்கரைப் புத்தூரின் கண் எழுந்தருளியுள்ள அடிகட்கு ஆட்படப் பெற்று நான் பெரும் பாக்கியம் செய்தவன் ஆயினேன்.",High-confidence link with strong lexical/entity/containment evidence.
token_overlap_bin=0.01-0.05,high,0.5221,strong_link,ordinary_phrase,0.0476,0.217,1,interprets_image,1,thirumurai_01_paadal_1160,ppl_v4_base_36cbdb90c445d661,செம்பொனின் மேனியன் ஆம் பிரமன் திருமாலும் தேட நின்ற,"சிவந்த பொன்போன்ற மேனியினன் ஆகிய பிரமனும் திருமாலும் தேடுமாறு பவளத் திரள் போல ஒளி வடிவினனாய் ஓங்கிநின்ற மூல காரணனும்,",High-confidence link with strong lexical/entity/containment evidence.
token_overlap_bin=0.01-0.05,medium,0.2702,medium_similarity,punctuated_phrase,0.0217,0.05,0,describes_entity,6,thirumurai_06_paadal_210,ppl_v4_base_157922a2f9b84756,"இராவணனை இருபது தோள் நெரிய ஊன்றி,",தான் சாகா வரம் பெற்றானாகச் செருக்கிய இராவணனை அவன் தோள்கள் இருபதும் நசுங்குமாறு திருவடி விரலை ஊன்றியவனாய்ப் உடைய மும்மதில்களையும் தீயிட்டுக் கொளுத்தி அழித்தவனாய்த் தன்னை அடைந்து வேண்டியவர் வேண்டியதை ஈவானாய்ச் 'சிவபெருமானே எம் இறைவன்' என்று அவனையே வழிபட்டுக் கொண்டிருக்கும் அடியவர்களுக்கு எல்லா நலன்களா,Medium-confidence link; likely useful but should be sampled before scholarly use.
token_overlap_bin=0.01-0.05,medium,0.2703,medium_similarity,punctuated_phrase,0.0345,0.0566,0,interprets_image,1,thirumurai_01_paadal_1199,ppl_v4_base_79bc279796886dad,"மை அணி மிடறு உடை மறையவன் ஊர்,","கொய்யப் பெற்ற அழகிய மணம் கமழும் கொன்றை மலர்மாலை அணிந்தவனாய் விடம் பொருந்திய கண்டத்தை உடையவனாய், படம் பொருந்திய பாம்பையும், மான் மழு வாள் ஆகியவற்றையும் கையின்கண் அணிந்தவனாய் விளங்கும் மறை முதல்வனது ஊர் கடைமுடியாகும்.",Medium-confidence link; likely useful but should be sampled before scholarly use.
token_overlap_bin=0.01-0.05,low,0.1327,no_shared_entity_anchor,single_token,0.0312,0.0103,0,describes_entity,2,thirumurai_02_paadal_2444,ppl_v4_base_031c9e99fa349dc4,எனப்,மணிகளையும் பொன்னையும் உந்திக் கொண்டு வரும் நீரை உடைய நிவாநதிக் கரைமேல் அழகுற அமைந்த நெல்வாயில் அரத்துறை அடிகள் தம் திருவருள் பிணிப்போடு அமைந்த மென்மையான சடைமீது பிறையணிந்துள்ள சிவனே எனப் பக்தி செய்து அவன் திருத்தொண்டுகளை அன்போடு செய்யாத பாவிகள் தொழுது பெறுதற்கு இயலாதது.,No accepted Entity v2 anchor overlaps both source and target spans.
token_overlap_bin=0.01-0.05,low,0.1328,no_shared_entity_anchor,single_token,0.0294,0.013,0,theological_explanation,2,thirumurai_02_paadal_1990,ppl_v4_base_9fa382b95fc26f55,என்று,தேன் பொருந்திய செந்தாமரையில் எழுந்தருளிய நான்முகன் கடலிடைத் துயிலும் திருமால் ஆகியோர் தன்முனைப்பு நீங்கிச் சிறந்த அடியவர் ஆதற் பொருட்டு மிக உயர்ந்தும் ஆழ்ந்தும் அவர்கள் உணர்தற்கு அரியவனாகிய சிவபிரான் வெள்ளானை தவஞ் செய்து வழிபடும் நிலையில் சிறந்த திருவெண்காட்டில் எழுந்தருளியுள்ளான் என்று மனங்கசிந்து ,No accepted Entity v2 anchor overlaps both source and target spans.
token_overlap_bin=0.06-0.15,high,0.5202,strong_link,punctuated_phrase,0.0769,0.2,1,theological_explanation,4,thirumurai_04_paadal_640,ppl_v4_base_92b33f9795953b54,சேடு எறி சடையர் போலும்; தீவினை தீர்க்க வல்ல,"பெருமையை வெளிப்படுத்தும் சடையில் அடக்கியவராய், தீவினையைத் தீர்க்க வல்லவராய்,",High-confidence link with strong lexical/entity/containment evidence.
token_overlap_bin=0.06-0.15,high,0.5203,strong_link,punctuated_phrase,0.125,0.1833,1,theological_explanation,5,thirumurai_05_paadal_1240,ppl_v4_base_e8aff44923b75ced,"படையனை, மழுவாளொடு; பாய்தரும்","உணர்வார் வினைதீர்த்திடும் மழுவாளொடு பிறவும் படை உடையவனை,",High-confidence link with strong lexical/entity/containment evidence.
token_overlap_bin=0.06-0.15,medium,0.27,medium_similarity,punctuated_phrase,0.0526,0.1232,0,explains_phrase,5,thirumurai_05_paadal_1246,ppl_v4_base_805bf5845ae59588,"கூரிய(க்) குணத்தார் குறி நின்றவன்,","ஆரியமும், தமிழும், இசையும் ஆனவனும் மிக்க குணத்தார் குறியாக நின்றவனும் ஒருபாற் பார்வதிதேவியாரை உடையவனுமாகிய பெருமான் வீற்றிருக்கும் கடம்பந்துறை சென்றடைவீர்களாக.",Medium-confidence link; likely useful but should be sampled before scholarly use.
token_overlap_bin=0.06-0.15,medium,0.2702,medium_similarity,ordinary_phrase,0.125,0.1138,0,interprets_image,5,thirumurai_05_paadal_1432,ppl_v4_base_cba537f298fc8f32,கலவர் ஆவதன் காரணம் என்கொலோ-,"பொட்டணிந்தவரும், நீண்ட சடாமுடி உடையவருமாகிய செம்பொன்பள்ளி இறைவர் கங்கையைச் சூடியவராய், பாம்பும் குளிர்பிறையும் கலந்தவராய் ஆவதன் காரணம் என்னையோ?.",Medium-confidence link; likely useful but should be sampled before scholarly use.
token_overlap_bin=0.06-0.15,low,0.1549,no_shared_entity_anchor,ordinary_phrase,0.0833,0.0366,0,describes_entity,2,thirumurai_02_paadal_1993,ppl_v4_base_a763fd8abc60758b,பாடி ஆடிய,பண்ணிசை போலும் மொழிபேசும் மங்கையர் பலர் பாடி ஆடிய ஓசை கண்ணெதிரே அமைந்து விளங்கும் கடலை அடுத்துள்ள காழிப்பதியில் பெண்பாகனாக விளங்கும் பெருமானையே எம்தலைவன் என்று பலகாலும் கூறும் சிவனடியார்கள் பொருளோடு அருளாலும் குறைவிலர்.,No accepted Entity v2 anchor overlaps both source and target spans.
token_overlap_bin=0.06-0.15,low,0.1565,no_shared_entity_anchor,single_token,0.0667,0.0505,0,theological_explanation,2,thirumurai_02_paadal_2223,ppl_v4_base_af90b10f035be504,செல்வம்,நாம் கருதும் ஊர் வேணுபுரம் முதலாக சண்பை உள்ளிட்ட பன்னிரு திருப்பெயர்களைக் கொண்டு செல்வம் கருதிய வையகத்தார் ஏத்தும் கழுமலமாகும்.,No accepted Entity v2 anchor overlaps both source and target spans.
token_overlap_bin=0.16-0.30,high,0.5203,strong_link,punctuated_phrase,0.2308,0.321,1,describes_entity,2,thirumurai_02_paadal_2750,ppl_v4_base_718a37ac05cd9c18,"வெங் கண் நாகம், விரிசடையில் வைத்த விகிர்தன்(ன்)","எருக்கு, கூவிளம், நாகம் ஆகியவற்றைத் தம் விரிசடையில் வைத்த விகிர்தனின் இடமாகும்.",High-confidence link with strong lexical/entity/containment evidence.
token_overlap_bin=0.16-0.30,high,0.5205,strong_link,ordinary_phrase,0.25,0.7027,1,theological_explanation,5,thirumurai_05_paadal_1758,ppl_v4_base_f3d948319dbfc07e,நாம் பணிந்து அடி போற்றும் நள்ளாறனே.,"நாம் பணிந்து அடிபோற்றும் நள்ளாற்று இறைவன்,",High-confidence link with strong lexical/entity/containment evidence.
token_overlap_bin=0.16-0.30,medium,0.2703,medium_similarity,ordinary_phrase,0.1818,0.2237,0,describes_entity,5,thirumurai_05_paadal_1541,ppl_v4_base_9d832c53bd450137,மருந்தினோடு நல் சுற்றமும் மக்களும்,"எனக்கு மருந்தும், சுற்றமும், மக்களும் ஆகப் பொருந்திநின்று விளங்கும் புண்ணிய வடிவினன்;",Medium-confidence link; likely useful but should be sampled before scholarly use.
token_overlap_bin=0.16-0.30,medium,0.2712,medium_similarity,ordinary_phrase,0.25,0.2083,0,describes_entity,5,thirumurai_05_paadal_1197,ppl_v4_base_9e5bfd839b07484e,ஞாலமே! விசும்பே! நலம் தீமையே!,தீமையே!,Medium-confidence link; likely useful but should be sampled before scholarly use.
token_overlap_bin=0.16-0.30,low,0.2011,ambiguous_multiple_targets,single_token,0.1667,0.0227,0,glosses_word,1,thirumurai_01_paadal_88,ppl_v4_base_b6ca99820800ad3e,ஊர்,"வஞ்சகமான பூதப்படைகளை உடையவனும் ஆகிய சிவபிரானது ஊர்,","The best target is close to the second-best target, so several pozhppurai spans may be plausible."
token_overlap_bin=0.16-0.30,low,0.2025,ambiguous_multiple_targets,single_token,0.25,0.0,0,glosses_word,3,thirumurai_03_paadal_3545,ppl_v4_base_c7f71a386a32fb70,என,"கனகம் என - தங்கத்தைப் போல,","The best target is close to the second-best target, so several pozhppurai spans may be plausible."
token_overlap_bin=0.31-0.50,high,0.5203,strong_link,punctuated_phrase,0.4,0.4545,0,explains_line,2,thirumurai_02_paadal_2374,ppl_v4_base_4a89d38ebaf5a1e9,"நண்டு உண, நாரை செந்நெல் நடுவே இருந்து; விரை","நண்டு உண்ணவும் நாரைகள் செந்நெல் நடுவே இருந்து இரைதேட,",High-confidence link with strong lexical/entity/containment evidence.
token_overlap_bin=0.31-0.50,high,0.5242,strong_link,single_token,0.5,0.2667,1,theological_explanation,2,thirumurai_02_paadal_2408,ppl_v4_base_17f23b0e69eb9d45,உள்ளம்,உள்ளம் ஒளியாக்கும.,High-confidence link with strong lexical/entity/containment evidence.
token_overlap_bin=0.31-0.50,medium,0.2713,medium_similarity,question,0.5,0.3913,0,glosses_word,6,thirumurai_06_paadal_932,ppl_v4_base_f28453bd6f895700,கண்ணுதலாய்! காட்டாக்காலே?.,கண்ணுதலாய்!,Medium-confidence link; likely useful but should be sampled before scholarly use.
token_overlap_bin=0.31-0.50,medium,0.2719,medium_similarity,punctuated_phrase,0.3333,0.1053,0,glosses_word,6,thirumurai_06_paadal_410,ppl_v4_base_d906c84c00dab1ca,"கற்பகமும் நீயே என்றும்,",நீயே.,Medium-confidence link; likely useful but should be sampled before scholarly use.
token_overlap_bin=0.31-0.50,low,0.2117,ambiguous_multiple_targets,punctuated_phrase,0.3333,0.2353,0,explains_phrase,3,thirumurai_03_paadal_3067,ppl_v4_base_5b55cfde013df2cd,விண் உலாவும் நெறி; வீடு காட்டும் நெறி;,முக்தி நெறி காட்டும்.,"The best target is close to the second-best target, so several pozhppurai spans may be plausible."
token_overlap_bin=0.31-0.50,low,0.2215,ambiguous_multiple_targets,ordinary_phrase,0.3333,0.3929,0,explains_phrase,1,thirumurai_01_paadal_1329,ppl_v4_base_b32d055c8e7b4092,மனம் உடையவர் வலிவலம் உறை இறையே.,"வலிவலம் உறை இறைவன்,","The best target is close to the second-best target, so several pozhppurai spans may be plausible."
token_overlap_bin=0.51+,high,0.5237,strong_link,punctuated_phrase,0.6,0.5172,0,explains_phrase,3,thirumurai_03_paadal_3669,ppl_v4_base_b193f5c9da79a19a,"சல்லரி(யி), யாழ், முழவம், மொந்தை,","சல்லரி, யாழ், முழவம்,",High-confidence link with strong lexical/entity/containment evidence.
token_overlap_bin=0.51+,high,0.5281,strong_link,ordinary_phrase,0.5714,0.4737,0,theological_explanation,7,thirumurai_07_paadal_580_2227_6,ppl_v4_base_25584982f661414e,அறவனார் ஆவது அறிந்தோமேல் நாம் இவர்க்கு ஆட்படோமே! .,"இவற்றையெல்லாம் அறிந்தோமேல், நாம் இவர்க்கு ஆட்படோமே!",High-confidence link with strong lexical/entity/containment evidence.
token_overlap_bin=0.51+,medium,0.406,medium_similarity,punctuated_phrase,0.6,0.2353,0,explains_line,6,thirumurai_06_paadal_456,ppl_v4_base_f80c9a31b256f095,எண் அல்லை; எழுத்து அல்லை; எரியும் அல்லை; இரவு,"எண், எழுத்து, இரவு,",Medium-confidence link; likely useful but should be sampled before scholarly use.
token_overlap_bin=0.51+,medium,0.4296,medium_similarity,punctuated_phrase,0.625,0.4828,0,theological_explanation,1,thirumurai_01_paadal_25,ppl_v4_base_4c2f70f08df3005f,"உய்யும் வண்ணம் நினைமின்! நினைந்தால், வினை தீரும்;","வலிதாயத்தை உய்யும் வண்ணம் நினைமின்; நினைந்தால் பிணி தீரும்,",Medium-confidence link; likely useful but should be sampled before scholarly use.
shared_entity_bin=0,high,0.5203,strong_link,punctuated_phrase,0.4,0.4545,0,explains_line,2,thirumurai_02_paadal_2374,ppl_v4_base_4a89d38ebaf5a1e9,"நண்டு உண, நாரை செந்நெல் நடுவே இருந்து; விரை","நண்டு உண்ணவும் நாரைகள் செந்நெல் நடுவே இருந்து இரைதேட,",High-confidence link with strong lexical/entity/containment evidence.
shared_entity_bin=0,high,0.5206,strong_link,punctuated_phrase,0.25,0.8824,0,glosses_word,6,thirumurai_06_paadal_701,ppl_v4_base_ac969b48b6a4de58,"தில்லைச் சிற்றம்பலமும், செம்பொன்பள்ளி,","தில்லைச்சிற்றம்பலம், செம்பொன்பள்ளி,",High-confidence link with strong lexical/entity/containment evidence.
shared_entity_bin=0,medium,0.27,medium_similarity,punctuated_phrase,0.0526,0.1232,0,explains_phrase,5,thirumurai_05_paadal_1246,ppl_v4_base_805bf5845ae59588,"கூரிய(க்) குணத்தார் குறி நின்றவன்,","ஆரியமும், தமிழும், இசையும் ஆனவனும் மிக்க குணத்தார் குறியாக நின்றவனும் ஒருபாற் பார்வதிதேவியாரை உடையவனுமாகிய பெருமான் வீற்றிருக்கும் கடம்பந்துறை சென்றடைவீர்களாக.",Medium-confidence link; likely useful but should be sampled before scholarly use.
shared_entity_bin=0,medium,0.2701,medium_similarity,ordinary_phrase,0.0,0.0101,0,explains_phrase,1,thirumurai_01_paadal_123,ppl_v4_base_f792edeeef316bfd,கறை ஆர்,"கூரிய மூவிலை வடிவாய் அமைந்த குருதிக் கறைபடிந்த அழகிய நீண்ட வேலின் முனையில் குத்தி ஏந்திய சிவபெருமானது இடம் யாதெனில்,",Medium-confidence link; likely useful but should be sampled before scholarly use.
shared_entity_bin=0,low,0.12,order_only_weak_match,numeric_only,0.0,0.0,0,explains_phrase,3,thirumurai_03_paadal_2852,ppl_v4_base_65fd56159d8d55b4,8,யானையின் தோலை உரித்துப் போர்த்தித் திருப்பூந்தராய் என்னும் தலத்தில் விரும்பி எழுந்தருளியுள்ள எனது பிஞ்ஞகனாகிய சிவபெருமானே தனது திருவடி விரல் ஒன்றினால் அரக்கனது ஆற்றலை அழித்துப் பின்னர் அவனுக்கு அருள் செய்தான்.,"The selected target is mainly supported by poem/commentary order, with little lexical or entity evidence."
shared_entity_bin=0,low,0.12,order_only_weak_match,numeric_only,0.0,0.0,0,theological_explanation,3,thirumurai_03_paadal_2901,ppl_v4_base_dada6d55d5a01bd4,2,சீதாப்பிராட்டியைக் கவர்ந்த தென்னிலங்கை மன்னனான தசமாமுகனின் பூச்சூடிய முடியையுடைய தலைகளை அறுத்துக் கொன்ற பழி நீங்குமாறு அம்பினைச் செலுத்தும் வில்லையுடைய அண்ணலாகிய இராமபிரான் வழிபட்ட இராமேச்சுரத்தை இடைவிடாது சிந்திப்பவர்களின் வினை அழியும்.,"The selected target is mainly supported by poem/commentary order, with little lexical or entity evidence."
shared_entity_bin=0,no_link,0.0,missing_or_unlinked,numeric_only,0.0,0.0,0,unlinked,3,thirumurai_03_paadal_3056,ppl_v4_base_4bd790511eed5da8,5,,"The normalized commentary row has empty pozhppurai text, so no target span can be linked."
shared_entity_bin=0,no_link,0.0,missing_or_unlinked,numeric_only,0.0,0.0,0,unlinked,3,thirumurai_03_paadal_3548,ppl_v4_base_2da1aa52e174751d,1,,"The normalized commentary row has empty pozhppurai text, so no target span can be linked."
shared_entity_bin=1,high,0.5202,strong_link,punctuated_phrase,0.0769,0.2,1,theological_explanation,4,thirumurai_04_paadal_640,ppl_v4_base_92b33f9795953b54,சேடு எறி சடையர் போலும்; தீவினை தீர்க்க வல்ல,"பெருமையை வெளிப்படுத்தும் சடையில் அடக்கியவராய், தீவினையைத் தீர்க்க வல்லவராய்,",High-confidence link with strong lexical/entity/containment evidence.
shared_entity_bin=1,high,0.5203,strong_link,punctuated_phrase,0.125,0.1833,1,theological_explanation,5,thirumurai_05_paadal_1240,ppl_v4_base_e8aff44923b75ced,"படையனை, மழுவாளொடு; பாய்தரும்","உணர்வார் வினைதீர்த்திடும் மழுவாளொடு பிறவும் படை உடையவனை,",High-confidence link with strong lexical/entity/containment evidence.
shared_entity_bin=1,medium,0.2709,medium_similarity,punctuated_phrase,0.0,0.0822,1,describes_entity,2,thirumurai_02_paadal_2269,ppl_v4_base_2f6b32df0d1d9fc3,"தருத் திகழும் பொழில் புறவம், சண்பை சடைமுடி","சடைமுடியை உடைய அண்ணலாகிய சிவபிரான் தங்கும் ஊர் நல்ல,",Medium-confidence link; likely useful but should be sampled before scholarly use.
